지역명,2022관광지출액,2021관광지출액,2022검색건수,2021검색건수,2022방문자수,2021방문자수,폐업추세,,,영업상태구분코드,,,폐업일자,,지역명1,,,,
,,,,,,,,234,,3,,,2013,,충청북도 제천시 청풍면 교리 227-4번지,,,,
,,,,,,,,235,,3,,,2018,,충청북도 제천시 청풍면 교리 227-3번지,,,,
,,,,,,,,236,,3,,,2018,,충청북도 제천시 청풍면 교리 227-2번지,,,,
,,,,,,,,237,,3,,,2018,,충청북도 제천시 청풍면 교리 227-1번지,,,,
,,,,,,,,238,,3,,,2018,,충청북도 제천시 청풍면 교리 227-5번지,,,,
,,,,,,,,239,,3,,,,,충청북도 제천시 청풍면 교리 227-2번지,,,,
,,,,,,,,240,,3,,,,,충청북도 제천시 청풍면 교리 227-1번지,,,,
,,,,,,,,241,,3,,,,,충청북도 제천시 청풍면 교리 227-5번지,,,,
,,,,,,,,242,,3,,,,,충청북도 제천시 청풍면 교리 227-3번지,,,,
,,,,,,,,243,,3,,,43262,,충청북도 제천시 청풍면 교리 227-4번지,,,,
,,,,,,,,244,,3,,,43262,,충청북도 제천시 청풍면 교리 227-6번지,,,,
,,,,,,,,245,,3,,,41799,,충청북도 단양군 가곡면 가대리 1132번지,,,,
,,,,,,,,246,,3,,,43872,,충청북도 단양군 가곡면 가대리 1134번지,,,,
,,,,,,,,247,,3,,,41565,,충청북도 단양군 가곡면 가대리 1131번지,,,,
,,,,,,,,248,,3,,,42683,,충청북도 단양군 단양읍 천동리 177-8번지,,,,
,,,,,,,,249,,3,,,38937,,충청북도 제천시 청풍면 계산리 13-1번지,,,,
,,,,,,,,250,,3,,,42044,,인천광역시 강화군 화도면 내리 2159-15번지,,,,
,,,,,,,,251,,3,,,43678,,인천광역시 강화군 강화읍 월곳리 173-8번지,,,,
,,,,,,,,252,,1,,,,,경상북도 문경시 마성면 신현리 468-10,,,,
,,,,,,,,253,,1,,,,,경상북도 문경시 문경읍 요성리 188번지,,,,
,,,,,,,,254,,1,,,,,경상북도 문경시 문경읍 하초리 365번지,,,,
,,,,,,,,255,,1,,,,,경상북도 경주시 마동,,,,
,,,,,,,,256,,1,,,,,경상북도 문경시 문경읍 고요리 72-1번지,,,,
,,,,,,,,257,,1,,,,,경상북도 문경시 가은읍 완장리 432번지,,,,
,,,,,,,,258,,1,,,,,경상북도 문경시 문경읍 상초리 288-8,,,,
,,,,,,,,259,,1,,,,,경상북도 문경시 문경읍 상초리 288-10번지,,,,
,,,,,,,,260,,1,,,,,충청남도 보령시 남포면 월전리 산 154-1 102동,,,,
,,,,,,,,261,,1,,,,,충청남도 보령시 남포면 월전리 산 154-1번지 205동,,,,
,,,,,,,,262,,1,,,,,충청남도 보령시 남포면 월전리 산 154-1번지 206동,,,,
,,,,,,,,263,,1,,,,,충청남도 보령시 신흑동 2257-2번지,,,,
,,,,,,,,264,,1,,,,,충청남도 보령시 신흑동 2301-11번지,,,,
,,,,,,,,265,,1,,,,,충청남도 보령시 신흑동 2302-3번지,,,,
,,,,,,,,266,,1,,,,,충청남도 보령시 신흑동 2256-4번지,,,,
,,,,,,,,267,,1,,,,,"충청남도 보령시 남포면 월전리 산 154-1번지 101, 204동",,,,
,,,,,,,,268,,1,,,,,충청남도 태안군 남면 양잠리 1230-66번지,,,,
,,,,,,,,269,,1,,,,,충청남도 태안군 남면 원청리 512-31번지,,,,
,,,,,,,,270,,1,,,,,충청남도 태안군 남면 양잠리 1230-11번지,,,,
,,,,,,,,271,,1,,,,,충청남도 태안군 남면 양잠리 1230-18,,,,
,,,,,,,,272,,1,,,,,충청남도 태안군 안면읍 정당리 1300-3번지,,,,
,,,,,,,,273,,1,,,,,충청남도 태안군 남면 신장리 353-41번지,,,,
,,,,,,,,274,,1,,,,,충청남도 태안군 남면 원청리 512-20번지,,,,
,,,,,,,,275,,1,,,,,충청남도 태안군 근흥면 도황리 346-16번지,,,,
,,,,,,,,276,,1,,,,,충청남도 태안군 남면 신온리 952-19,,,,
,,,,,,,,277,,1,,,,,충청남도 태안군 남면 양잠리 1230-19번지,,,,
,,,,,,,,278,,1,,,,,충청남도 태안군 안면읍 정당리 1314-7번지,,,,
,,,,,,,,279,,1,,,,,충청남도 태안군 남면 양잠리 1230-15,,,,
,,,,,,,,280,,1,,,,,충청남도 태안군 고남면 장곡리 403-18번지,,,,
,,,,,,,,281,,1,,,,,충청남도 서산시 운산면 고풍리 166-2번지,,,,
,,,,,,,,282,,1,,,,,충청남도 태안군 이원면 내리 584-16,,,,
,,,,,,,,283,,1,,,,,충청남도 태안군 남면 신온리 952-5번지 엘도라도,,,,
,,,,,,,,284,,1,,,,,충청남도 태안군 고남면 장곡리 403-17번지 지중해아침,,,,
,,,,,,,,285,,1,,,,,충청남도 태안군 원북면 신두리 1414-4번지,,,,
,,,,,,,,286,,1,,,,,충청남도 태안군 남면 몽산리 661-9번지,,,,
,,,,,,,,287,,1,,,,,충청남도 태안군 고남면 장곡리 141-1번지,,,,
,,,,,,,,288,,1,,,,,충청남도 태안군 남면 원청리 562-16번지,,,,
,,,,,,,,289,,1,,,,,충청남도 태안군 안면읍 정당리 968-5번지,,,,
,,,,,,,,290,,1,,,,,충청남도 태안군 남면 원청리 512-131번지,,,,
,,,,,,,,291,,1,,,,,충청남도 태안군 태안읍 삭선리 340-14번지,,,,
,,,,,,,,292,,1,,,,,충청남도 태안군 남면 양잠리 1230-86번지,,,,
,,,,,,,,293,,1,,,,,충청남도 태안군 남면 원청리 512-33번지,,,,
,,,,,,,,294,,1,,,,,충청남도 태안군 원북면 청산리,,,,
,,,,,,,,295,,1,,,,,경상남도 통영시 산양읍 풍화리 1491-1 2층,,,,
,,,,,,,,296,,1,,,,,전라남도 신안군 압해읍 학교리 336-14번지,,,,
